Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Tennessee,09/12/2021,1,Jerome Boger,Arizona Cardinals 38 @ Tennessee Titans 13,8,59,6,44,1,5,1,10
Minnesota,09/19/2021,2,Bill Vinovich,Minnesota Vikings 33 @ Arizona Cardinals 34,5,40,4,25,0,0,1,15
Jacksonville,09/26/2021,3,Shawn Smith,Arizona Cardinals 31 @ Jacksonville Jaguars 19,7,58,3,25,1,15,3,18
LA Rams,10/03/2021,4,Shawn Hochuli,Arizona Cardinals 37 @ Los Angeles Rams 20,7,63,4,30,3,33,0,0
San Francisco,10/10/2021,5,Clay Martin,San Francisco 49ers 10 @ Arizona Cardinals 17,6,62,1,5,4,42,1,15
Cleveland,10/17/2021,6,Carl Cheffers,Arizona Cardinals 37 @ Cleveland Browns 14,5,45,3,25,2,20,0,0
Houston,10/24/2021,7,Land Clark,Houston Texans 5 @ Arizona Cardinals 31,7,54,4,24,2,20,1,10
Green Bay,10/28/2021,8,Alex Kemp,Green Bay Packers 24 @ Arizona Cardinals 21,7,59,2,25,4,24,1,10
San Francisco,11/07/2021,9,Brad Allen,Arizona Cardinals 31 @ San Francisco 49ers 17,9,84,2,24,3,36,4,24
Carolina,11/14/2021,10,Adrian Hill,Carolina Panthers 34 @ Arizona Cardinals 10,4,58,2,15,1,33,1,10
Seattle,11/21/2021,11,Clete Blakeman,Arizona Cardinals 23 @ Seattle Seahawks 13,3,32,1,10,1,14,1,8
Chicago,12/05/2021,13,Jerome Boger,Arizona Cardinals 33 @ Chicago Bears 22,8,63,3,15,3,23,2,25
LA Rams,12/13/2021,14,Carl Cheffers,Los Angeles Rams 30 @ Arizona Cardinals 23,7,54,5,35,2,19,0,0
Detroit,12/19/2021,15,Land Clark,Arizona Cardinals 12 @ Detroit Lions 30,7,83,2,10,4,58,1,15
Indianapolis,12/25/2021,16,Craig Wrolstad,Indianapolis Colts 22 @ Arizona Cardinals 16,11,85,5,35,6,50,0,0
Dallas,01/02/2022,17,Scott Novak,Arizona Cardinals 25 @ Dallas Cowboys 22,7,45,3,20,3,20,1,5
Seattle,01/09/2022,18,Shawn Smith,Seattle Seahawks 38 @ Arizona Cardinals 30,6,46,6,46,0,0,0,0
LA Rams,01/17/2022,Wildcard Weekend,Clay Martin,Arizona Cardinals 11 @ Los Angeles Rams 34,7,50,5,40,2,10,0,0
Totals,,,,,121,1040,61,453,42,422,18,165
