Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
New Orleans,09/11/2022,1.0,Alex Kemp,New Orleans Saints 27 @ Atlanta Falcons 26,8,55,3,25,2,10,3,20
LA Rams,09/18/2022,2.0,Clay Martin,Atlanta Falcons 27 @ Los Angeles Rams 31,5,29,3,20,2,9,0,0
Seattle,09/25/2022,3.0,Tra Blake,Atlanta Falcons 27 @ Seattle Seahawks 23,2,15,2,15,0,0,0,0
Cleveland,10/02/2022,4.0,Craig Wrolstad,Cleveland Browns 20 @ Atlanta Falcons 23,1,15,1,15,0,0,0,0
Tampa Bay,10/09/2022,5.0,Jerome Boger,Atlanta Falcons 15 @ Tampa Bay Buccaneers 21,6,55,4,35,2,20,0,0
San Francisco,10/16/2022,6.0,Carl Cheffers,San Francisco 49ers 14 @ Atlanta Falcons 28,5,40,2,15,3,25,0,0
Cincinnati,10/23/2022,7.0,Clete Blakeman,Atlanta Falcons 17 @ Cincinnati Bengals 35,3,22,0,0,2,7,1,15
Carolina,10/30/2022,8.0,Shawn Hochuli,Carolina Panthers 34 @ Atlanta Falcons 37,7,64,2,10,1,15,4,39
LA Chargers,11/06/2022,9.0,John Hussey,Los Angeles Chargers 20 @ Atlanta Falcons 17,2,15,1,10,0,0,1,5
Carolina,11/10/2022,10.0,Adrian Hill,Atlanta Falcons 15 @ Carolina Panthers 25,4,37,2,22,1,5,1,10
Chicago,11/20/2022,11.0,Tra Blake,Chicago Bears 24 @ Atlanta Falcons 27,2,13,1,10,1,3,0,0
Washington,11/27/2022,12.0,Brad Rogers,Atlanta Falcons 13 @ Washington Commanders 19,2,20,1,15,0,0,1,5
Pittsburgh,12/04/2022,13.0,Ron Torbert,Pittsburgh Steelers 19 @ Atlanta Falcons 16,6,48,5,34,1,14,0,0
New Orleans,12/18/2022,15.0,Clete Blakeman,Atlanta Falcons 18 @ New Orleans Saints 21,3,30,0,0,1,15,2,15
Baltimore,12/24/2022,16.0,Bill Vinovich,Atlanta Falcons 9 @ Baltimore Ravens 17,5,48,4,43,0,0,1,5
Arizona,01/01/2023,17.0,Alex Kemp,Arizona Cardinals 19 @ Atlanta Falcons 20,5,70,2,20,2,45,1,5
Tampa Bay,01/08/2023,18.0,Land Clark,Tampa Bay Buccaneers 17 @ Atlanta Falcons 30,2,18,2,18,0,0,0,0
Totals,,,,,68,594,35,307,18,168,15,119
