Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Buffalo,09/11/2016,1.0,Brad Allen,Buffalo Bills 7 @ Baltimore Ravens 13,6,35,5,30,1,5,0,0
Cleveland,09/18/2016,2.0,John Hussey,Baltimore Ravens 25 @ Cleveland Browns 20,4,29,3,24,1,5,0,0
Jacksonville,09/25/2016,3.0,Gene Steratore,Baltimore Ravens 19 @ Jacksonville Jaguars 17,8,58,3,25,2,10,3,23
Oakland,10/02/2016,4.0,Ed Hochuli,Oakland Raiders 28 @ Baltimore Ravens 27,10,105,7,70,1,5,2,30
Washington,10/09/2016,5.0,Ron Torbert,Washington Redskins 16 @ Baltimore Ravens 10,9,65,3,20,5,35,1,10
N.Y. Giants,10/16/2016,6.0,Jeff Triplette,Baltimore Ravens 23 @ New York Giants 27,15,111,8,55,3,13,4,43
N.Y. Jets,10/23/2016,7.0,Walt Anderson,Baltimore Ravens 16 @ New York Jets 24,4,35,2,15,2,20,0,0
Pittsburgh,11/06/2016,9.0,John Hussey,Pittsburgh Steelers 14 @ Baltimore Ravens 21,10,94,6,50,2,16,2,28
Cleveland,11/10/2016,10.0,Jerome Boger,Cleveland Browns 7 @ Baltimore Ravens 28,6,61,2,20,3,31,1,10
Dallas,11/20/2016,11.0,John Parry,Baltimore Ravens 17 @ Dallas Cowboys 27,12,136,5,55,4,58,3,23
Cincinnati,11/27/2016,12.0,Clete Blakeman,Cincinnati Bengals 14 @ Baltimore Ravens 19,8,69,2,25,4,30,2,14
Miami,12/04/2016,13.0,Carl Cheffers,Miami Dolphins 6 @ Baltimore Ravens 38,7,68,3,25,2,27,2,16
New England,12/12/2016,14.0,Ed Hochuli,Baltimore Ravens 23 @ New England Patriots 30,8,47,5,30,1,5,2,12
Philadelphia,12/18/2016,15.0,Craig Wrolstad,Philadelphia Eagles 26 @ Baltimore Ravens 27,7,62,1,10,5,42,1,10
Pittsburgh,12/25/2016,16.0,John Parry,Baltimore Ravens 27 @ Pittsburgh Steelers 31,7,95,2,20,2,50,3,25
Cincinnati,01/01/2017,17.0,Pete Morelli,Baltimore Ravens 10 @ Cincinnati Bengals 27,4,41,2,25,2,16,0,0
Totals,,,,,125,1111,59,499,40,368,26,244
