Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Miami,09/12/2010,1.0,Clete Blakeman,Miami Dolphins 15 @ Buffalo Bills 10,5,35,4,30,0,0,1,5
Green Bay,09/19/2010,2.0,Ron Winter,Buffalo Bills 7 @ Green Bay Packers 34,4,35,2,20,1,5,1,10
New England,09/26/2010,3.0,John Parry,Buffalo Bills 30 @ New England Patriots 38,6,45,4,35,2,10,0,0
N.Y. Jets,10/03/2010,4.0,Bill Leavy,New York Jets 38 @ Buffalo Bills 14,3,32,1,10,1,14,1,8
Jacksonville,10/10/2010,5.0,Carl Cheffers,Jacksonville Jaguars 36 @ Buffalo Bills 26,5,35,4,30,0,0,1,5
Baltimore,10/24/2010,7.0,Pete Morelli,Buffalo Bills 34 @ Baltimore Ravens 37,6,78,3,30,3,48,0,0
Kansas City,10/31/2010,8.0,Al Riveron,Buffalo Bills 10 @ Kansas City Chiefs 13,5,35,5,35,0,0,0,0
Chicago,11/07/2010,9.0,Gene Steratore,Chicago Bears 22 @ Buffalo Bills 19,4,33,2,15,2,18,0,0
Detroit,11/14/2010,10.0,Walt Coleman,Detroit Lions 12 @ Buffalo Bills 14,4,30,1,5,1,5,2,20
Cincinnati,11/21/2010,11.0,Ed Hochuli,Buffalo Bills 49 @ Cincinnati Bengals 31,10,58,3,20,4,13,3,25
Pittsburgh,11/28/2010,12.0,John Parry,Pittsburgh Steelers 19 @ Buffalo Bills 16,4,20,1,5,3,15,0,0
Minnesota,12/05/2010,13.0,Jerome Boger,Buffalo Bills 14 @ Minnesota Vikings 38,6,54,3,24,2,20,1,10
Cleveland,12/12/2010,14.0,Scott Green,Cleveland Browns 6 @ Buffalo Bills 13,6,44,1,5,1,4,4,35
Miami,12/19/2010,15.0,Jeff Triplette,Buffalo Bills 17 @ Miami Dolphins 14,5,44,4,35,1,9,0,0
New England,12/26/2010,16.0,Al Riveron,New England Patriots 34 @ Buffalo Bills 3,6,40,4,30,1,5,1,5
N.Y. Jets,01/02/2011,17.0,Carl Cheffers,Buffalo Bills 7 @ New York Jets 38,3,15,2,10,1,5,0,0
Totals,,,,,82,633,44,339,23,171,15,123
