Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Cleveland,09/11/2022,1.0,Brad Rogers,Cleveland Browns 26 @ Carolina Panthers 24,8,96,3,22,5,74,0,0
N.Y. Giants,09/18/2022,2.0,Ron Torbert,Carolina Panthers 16 @ New York Giants 19,5,38,3,20,2,18,0,0
New Orleans,09/25/2022,3.0,Carl Cheffers,New Orleans Saints 14 @ Carolina Panthers 22,4,40,1,10,1,15,2,15
Arizona,10/02/2022,4.0,John Hussey,Arizona Cardinals 26 @ Carolina Panthers 16,6,76,0,0,2,41,4,35
San Francisco,10/09/2022,5.0,Shawn Smith,San Francisco 49ers 37 @ Carolina Panthers 15,5,33,3,25,2,8,0,0
LA Rams,10/16/2022,6.0,Tra Blake,Carolina Panthers 10 @ Los Angeles Rams 24,3,30,2,15,1,15,0,0
Tampa Bay,10/23/2022,7.0,Craig Wrolstad,Tampa Bay Buccaneers 3 @ Carolina Panthers 21,3,15,0,0,0,0,3,15
Atlanta,10/30/2022,8.0,Shawn Hochuli,Carolina Panthers 34 @ Atlanta Falcons 37,9,74,7,54,0,0,2,20
Cincinnati,11/06/2022,9.0,Alex Kemp,Carolina Panthers 21 @ Cincinnati Bengals 42,7,50,2,10,2,10,3,30
Atlanta,11/10/2022,10.0,Adrian Hill,Atlanta Falcons 15 @ Carolina Panthers 25,10,89,6,43,4,46,0,0
Baltimore,11/20/2022,11.0,Jerome Boger,Carolina Panthers 3 @ Baltimore Ravens 13,9,66,4,30,2,6,3,30
Denver,11/27/2022,12.0,Clay Martin,Denver Broncos 10 @ Carolina Panthers 23,4,34,2,20,2,14,0,0
Seattle,12/11/2022,14.0,Bill Vinovich,Carolina Panthers 30 @ Seattle Seahawks 24,6,29,4,19,1,5,1,5
Pittsburgh,12/18/2022,15.0,Scott Novak,Pittsburgh Steelers 24 @ Carolina Panthers 16,5,40,2,10,1,5,2,25
Detroit,12/24/2022,16.0,Shawn Hochuli,Detroit Lions 23 @ Carolina Panthers 37,10,74,5,30,4,37,1,7
Tampa Bay,01/01/2023,17.0,Brad Rogers,Carolina Panthers 24 @ Tampa Bay Buccaneers 30,8,58,4,24,2,19,2,15
New Orleans,01/08/2023,18.0,Alex Kemp,Carolina Panthers 10 @ New Orleans Saints 7,2,20,0,0,2,20,0,0
Totals,,,,,104,862,48,332,33,333,23,197
