Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Indianapolis,09/09/2012,1.0,Wayne Elliott,Indianapolis Colts 21 @ Chicago Bears 41,7,48,4,32,3,16,0,0
Green Bay,09/13/2012,2.0,Gerald Wright,Chicago Bears 10 @ Green Bay Packers 23,8,65,5,40,2,10,1,15
St. Louis,09/23/2012,3.0,Jerry Hughes,St. Louis Rams 6 @ Chicago Bears 23,6,45,3,15,2,20,1,10
Dallas,10/01/2012,4.0,Walt Anderson,Chicago Bears 34 @ Dallas Cowboys 18,4,25,3,15,0,0,1,10
Jacksonville,10/07/2012,5.0,Ron Winter,Chicago Bears 41 @ Jacksonville Jaguars 3,12,80,6,40,3,15,3,25
Detroit,10/22/2012,7.0,Al Riveron,Detroit Lions 7 @ Chicago Bears 13,9,49,5,33,1,1,3,15
Carolina,10/28/2012,8.0,Ed Hochuli,Carolina Panthers 22 @ Chicago Bears 23,5,40,1,5,4,35,0,0
Tennessee,11/04/2012,9.0,Terry McAulay,Chicago Bears 51 @ Tennessee Titans 20,5,37,4,28,0,0,1,9
Houston,11/11/2012,10.0,Gene Steratore,Houston Texans 13 @ Chicago Bears 6,5,49,3,24,1,15,1,10
San Francisco,11/19/2012,11.0,Tony Corrente,Chicago Bears 7 @ San Francisco 49ers 32,6,55,2,20,3,25,1,10
Minnesota,11/25/2012,12.0,Scott Green,Minnesota Vikings 10 @ Chicago Bears 28,5,55,2,20,3,35,0,0
Seattle,12/02/2012,13.0,Mike Carey,Seattle Seahawks 23 @ Chicago Bears 17,5,45,3,20,1,15,1,10
Minnesota,12/09/2012,14.0,Walt Coleman,Chicago Bears 14 @ Minnesota Vikings 21,10,80,5,35,3,25,2,20
Green Bay,12/16/2012,15.0,Walt Anderson,Green Bay Packers 21 @ Chicago Bears 13,10,91,5,45,2,31,3,15
Arizona,12/23/2012,16.0,Terry McAulay,Chicago Bears 28 @ Arizona Cardinals 13,2,12,0,0,1,10,1,2
Detroit,12/30/2012,17.0,Bill Leavy,Chicago Bears 26 @ Detroit Lions 24,3,35,1,5,2,30,0,0
Totals,,,,,102,811,52,377,31,283,19,151
