Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Seattle,09/08/2019,1.0,Brad Rogers,Cincinnati Bengals 20 @ Seattle Seahawks 21,7,57,4,30,2,19,1,8
San Francisco,09/15/2019,2.0,Tony Corrente,San Francisco 49ers 41 @ Cincinnati Bengals 17,7,60,5,40,0,0,2,20
Buffalo,09/22/2019,3.0,Clete Blakeman,Cincinnati Bengals 17 @ Buffalo Bills 21,8,54,3,25,4,19,1,10
Pittsburgh,09/30/2019,4.0,Bill Vinovich,Cincinnati Bengals 3 @ Pittsburgh Steelers 27,8,60,3,15,3,35,2,10
Arizona,10/06/2019,5.0,John Hussey,Arizona Cardinals 26 @ Cincinnati Bengals 23,7,60,3,25,3,27,1,8
Baltimore,10/13/2019,6.0,Clay Martin,Cincinnati Bengals 17 @ Baltimore Ravens 23,4,20,3,20,0,0,1,0
Jacksonville,10/20/2019,7.0,Craig Wrolstad,Jacksonville Jaguars 27 @ Cincinnati Bengals 17,6,50,4,30,1,5,1,15
LA Rams,10/27/2019,8.0,Jerome Boger,Cincinnati Bengals 10 @ Los Angeles Rams 24,6,40,4,25,1,5,1,10
Baltimore,11/10/2019,10.0,Scott Novak,Baltimore Ravens 49 @ Cincinnati Bengals 13,1,5,1,5,0,0,0,0
Oakland,11/17/2019,11.0,Shawn Smith,Cincinnati Bengals 10 @ Oakland Raiders 17,4,40,2,15,1,15,1,10
Pittsburgh,11/24/2019,12.0,Adrian Hill,Pittsburgh Steelers 16 @ Cincinnati Bengals 10,7,79,3,25,4,54,0,0
N.Y. Jets,12/01/2019,13.0,Ron Torbert,New York Jets 6 @ Cincinnati Bengals 22,2,15,2,15,0,0,0,0
Cleveland,12/08/2019,14.0,Carl Cheffers,Cincinnati Bengals 19 @ Cleveland Browns 27,8,99,4,50,2,20,2,29
New England,12/15/2019,15.0,Alex Kemp,New England Patriots 34 @ Cincinnati Bengals 13,5,25,3,15,2,10,0,0
Miami,12/22/2019,16.0,Brad Allen,Cincinnati Bengals 35 @ Miami Dolphins 38,10,77,4,20,4,42,2,15
Cleveland,12/29/2019,17.0,Adrian Hill,Cleveland Browns 23 @ Cincinnati Bengals 33,3,20,1,5,1,5,1,10
Totals,,,,,93,761,49,360,28,256,16,145
