Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Miami,09/08/2013,1.0,Mike Carey,Miami Dolphins 23 @ Cleveland Browns 10,9,57,6,43,2,9,1,5
Baltimore,09/15/2013,2.0,Bill Vinovich,Cleveland Browns 6 @ Baltimore Ravens 14,5,33,3,15,1,15,1,3
Minnesota,09/22/2013,3.0,Bill Leavy,Cleveland Browns 31 @ Minnesota Vikings 27,5,47,3,22,1,15,1,10
Cincinnati,09/29/2013,4.0,Ron Winter,Cincinnati Bengals 6 @ Cleveland Browns 17,5,80,2,20,3,60,0,0
Buffalo,10/03/2013,5.0,Pete Morelli,Buffalo Bills 24 @ Cleveland Browns 37,6,66,3,30,2,36,1,0
Detroit,10/13/2013,6.0,Walt Coleman,Detroit Lions 31 @ Cleveland Browns 17,9,87,4,25,3,37,2,25
Green Bay,10/20/2013,7.0,Jeff Triplette,Cleveland Browns 13 @ Green Bay Packers 31,12,106,3,15,5,61,4,30
Kansas City,10/27/2013,8.0,Clete Blakeman,Cleveland Browns 17 @ Kansas City Chiefs 23,9,70,4,30,2,20,3,20
Baltimore,11/03/2013,9.0,Scott Green,Baltimore Ravens 18 @ Cleveland Browns 24,6,55,4,45,2,10,0,0
Cincinnati,11/17/2013,11.0,Carl Cheffers,Cleveland Browns 20 @ Cincinnati Bengals 41,5,40,3,20,0,0,2,20
Pittsburgh,11/24/2013,12.0,Terry McAulay,Pittsburgh Steelers 27 @ Cleveland Browns 11,2,10,2,10,0,0,0,0
Jacksonville,12/01/2013,13.0,Bill Leavy,Jacksonville Jaguars 32 @ Cleveland Browns 28,9,50,4,15,3,25,2,10
New England,12/08/2013,14.0,Jerome Boger,Cleveland Browns 26 @ New England Patriots 27,7,75,3,20,4,55,0,0
Chicago,12/15/2013,15.0,Jeff Triplette,Chicago Bears 38 @ Cleveland Browns 31,9,90,4,25,3,50,2,15
N.Y. Jets,12/22/2013,16.0,Pete Morelli,Cleveland Browns 13 @ New York Jets 24,3,24,1,5,2,19,0,0
Pittsburgh,12/29/2013,17.0,Mike Carey,Cleveland Browns 7 @ Pittsburgh Steelers 20,3,30,2,15,0,0,1,15
Totals,,,,,104,920,51,355,33,412,20,153
