Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Cleveland,09/08/2024,1.0,Clete Blakeman,Dallas Cowboys 33 @ Cleveland Browns 17,11,85,4,30,3,25,4,30
New Orleans,09/15/2024,2.0,Shawn Smith,New Orleans Saints 44 @ Dallas Cowboys 19,4,26,3,20,1,6,0,0
Baltimore,09/22/2024,3.0,Ron Torbert,Baltimore Ravens 28 @ Dallas Cowboys 25,6,44,5,34,0,0,1,10
N.Y. Giants,09/26/2024,4.0,Clay Martin,Dallas Cowboys 20 @ New York Giants 15,11,89,5,54,3,15,3,20
Pittsburgh,10/06/2024,5.0,Shawn Hochuli,Dallas Cowboys 20 @ Pittsburgh Steelers 17,11,87,6,45,4,32,1,10
Detroit,10/13/2024,6.0,John Hussey,Detroit Lions 47 @ Dallas Cowboys 9,4,30,0,0,2,20,2,10
San Francisco,10/27/2024,8.0,Bill Vinovich,Dallas Cowboys 24 @ San Francisco 49ers 30,6,30,2,15,0,0,4,15
Atlanta,11/03/2024,9.0,Scott Novak,Dallas Cowboys 21 @ Atlanta Falcons 27,9,55,8,45,0,0,1,10
Philadelphia,11/10/2024,10.0,Alex Kemp,Philadelphia Eagles 34 @ Dallas Cowboys 6,5,40,1,10,4,30,0,0
Houston,11/18/2024,11.0,Craig Wrolstad,Houston Texans 34 @ Dallas Cowboys 10,9,66,4,30,4,26,1,10
Washington,11/24/2024,12.0,Tra Blake,Dallas Cowboys 34 @ Washington Commanders 26,4,20,3,20,0,0,1,0
N.Y. Giants,11/28/2024,13.0,Brad Rogers,New York Giants 20 @ Dallas Cowboys 27,6,48,3,25,2,18,1,5
Cincinnati,12/09/2024,14.0,Scott Novak,Cincinnati Bengals 27 @ Dallas Cowboys 20,4,36,2,20,2,16,0,0
Carolina,12/15/2024,15.0,Bill Vinovich,Dallas Cowboys 30 @ Carolina Panthers 14,14,99,6,40,7,49,1,10
Tampa Bay,12/22/2024,16.0,Land Clark,Tampa Bay Buccaneers 24 @ Dallas Cowboys 26,5,30,4,25,0,0,1,5
Philadelphia,12/29/2024,17.0,Brad Allen,Dallas Cowboys 7 @ Philadelphia Eagles 41,8,69,2,25,5,34,1,10
Washington,01/05/2025,18.0,Clete Blakeman,Washington Commanders 23 @ Dallas Cowboys 19,11,68,8,44,1,15,2,9
Totals,,,,,128,922,66,482,38,286,24,154
