Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Chicago,09/13/2020,1.0,Alex Kemp,Chicago Bears 27 @ Detroit Lions 23,8,77,3,25,4,47,1,5
Green Bay,09/20/2020,2.0,Clete Blakeman,Detroit Lions 21 @ Green Bay Packers 42,7,70,2,25,4,40,1,5
Arizona,09/27/2020,3.0,Scott Novak,Detroit Lions 26 @ Arizona Cardinals 23,7,46,3,20,2,11,2,15
New Orleans,10/04/2020,4.0,Shawn Smith,New Orleans Saints 35 @ Detroit Lions 29,5,49,3,29,1,15,1,5
Jacksonville,10/18/2020,6.0,Shawn Hochuli,Detroit Lions 34 @ Jacksonville Jaguars 16,7,60,4,35,3,25,0,0
Atlanta,10/25/2020,7.0,Land Clark,Detroit Lions 23 @ Atlanta Falcons 22,5,50,3,30,2,20,0,0
Indianapolis,11/01/2020,8.0,Clay Martin,Indianapolis Colts 41 @ Detroit Lions 21,4,76,1,5,2,56,1,15
Minnesota,11/08/2020,9.0,Clete Blakeman,Detroit Lions 20 @ Minnesota Vikings 34,3,37,0,0,1,18,2,19
Washington,11/15/2020,10.0,Alex Kemp,Washington Football Team 27 @ Detroit Lions 30,9,55,3,25,5,25,1,5
Carolina,11/22/2020,11.0,Ron Torbert,Detroit Lions 0 @ Carolina Panthers 20,4,20,1,5,1,6,2,9
Houston,11/26/2020,12.0,Shawn Smith,Houston Texans 41 @ Detroit Lions 25,4,44,1,10,2,30,1,4
Chicago,12/06/2020,13.0,Clay Martin,Detroit Lions 34 @ Chicago Bears 30,7,45,2,10,5,35,0,0
Green Bay,12/13/2020,14.0,Alex Kemp,Green Bay Packers 31 @ Detroit Lions 24,4,30,3,25,1,5,0,0
Tennessee,12/20/2020,15.0,Jerome Boger,Detroit Lions 25 @ Tennessee Titans 46,3,33,2,10,1,23,0,0
Tampa Bay,12/26/2020,16.0,Scott Novak,Tampa Bay Buccaneers 47 @ Detroit Lions 7,11,117,4,30,5,65,2,22
Minnesota,01/03/2021,17.0,John Hussey,Minnesota Vikings 37 @ Detroit Lions 35,7,51,3,20,4,31,0,0
Totals,,,,,95,860,38,304,43,452,14,104
