Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
New Orleans,09/12/2021,1,Carl Cheffers,Green Bay Packers 3 @ New Orleans Saints 38,5,33,2,16,2,12,1,5
Detroit,09/20/2021,2,Adrian Hill,Detroit Lions 17 @ Green Bay Packers 35,5,50,3,25,1,15,1,10
San Francisco,09/26/2021,3,Jerome Boger,Green Bay Packers 30 @ San Francisco 49ers 28,7,87,2,20,5,67,0,0
Pittsburgh,10/03/2021,4,Scott Novak,Pittsburgh Steelers 17 @ Green Bay Packers 27,3,25,1,10,1,5,1,10
Cincinnati,10/10/2021,5,Bill Vinovich,Green Bay Packers 25 @ Cincinnati Bengals 22,2,10,2,10,0,0,0,0
Chicago,10/17/2021,6,Brad Rogers,Green Bay Packers 24 @ Chicago Bears 14,3,51,1,10,1,26,1,15
Washington,10/24/2021,7,Ron Torbert,Washington Football Team 10 @ Green Bay Packers 24,4,36,3,17,1,19,0,0
Arizona,10/28/2021,8,Alex Kemp,Green Bay Packers 24 @ Arizona Cardinals 21,7,60,2,14,4,36,1,10
Kansas City,11/07/2021,9,Shawn Smith,Green Bay Packers 7 @ Kansas City Chiefs 13,4,19,2,9,2,10,0,0
Seattle,11/14/2021,10,Brad Allen,Seattle Seahawks 0 @ Green Bay Packers 17,3,43,2,19,1,24,0,0
Minnesota,11/21/2021,11,Shawn Hochuli,Green Bay Packers 31 @ Minnesota Vikings 34,8,92,5,40,3,52,0,0
LA Rams,11/28/2021,12,Craig Wrolstad,Los Angeles Rams 28 @ Green Bay Packers 36,3,32,2,22,0,0,1,10
Chicago,12/12/2021,14,Ron Torbert,Chicago Bears 30 @ Green Bay Packers 45,3,30,1,10,2,20,0,0
Baltimore,12/19/2021,15,Brad Allen,Green Bay Packers 31 @ Baltimore Ravens 30,8,76,2,10,3,36,3,30
Cleveland,12/25/2021,16,Alex Kemp,Cleveland Browns 22 @ Green Bay Packers 24,3,29,1,5,1,14,1,10
Minnesota,01/02/2022,17,Clay Martin,Minnesota Vikings 10 @ Green Bay Packers 37,1,5,0,0,1,5,0,0
Detroit,01/09/2022,18,Scott Novak,Green Bay Packers 30 @ Detroit Lions 37,0,0,0,0,0,0,0,0
San Francisco,01/22/2022,Divisional Playoffs,Ron Torbert,San Francisco 49ers 13 @ Green Bay Packers 10,5,25,4,20,0,0,1,5
Totals,,,,,74,703,35,257,28,341,11,105
