Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Washington,09/07/2014,1.0,Jerome Boger,Washington Redskins 6 @ Houston Texans 17,6,45,2,15,2,12,2,18
Oakland,09/14/2014,2.0,Brad Allen,Houston Texans 30 @ Oakland Raiders 14,7,85,5,49,2,36,0,0
N.Y. Giants,09/21/2014,3.0,Terry McAulay,Houston Texans 17 @ New York Giants 30,5,40,3,20,2,20,0,0
Buffalo,09/28/2014,4.0,Bill Vinovich,Buffalo Bills 17 @ Houston Texans 23,8,90,6,60,2,30,0,0
Dallas,10/05/2014,5.0,Pete Morelli,Houston Texans 17 @ Dallas Cowboys 20,5,35,5,35,0,0,0,0
Indianapolis,10/09/2014,6.0,Ron Torbert,Indianapolis Colts 33 @ Houston Texans 28,5,66,2,20,3,46,0,0
Pittsburgh,10/20/2014,7.0,Walt Coleman,Houston Texans 23 @ Pittsburgh Steelers 30,4,20,1,5,3,15,0,0
Tennessee,10/26/2014,8.0,Bill Leavy,Houston Texans 30 @ Tennessee Titans 16,4,35,3,25,0,0,1,10
Philadelphia,11/02/2014,9.0,John Parry,Philadelphia Eagles 31 @ Houston Texans 21,9,54,4,25,3,15,2,14
Cleveland,11/16/2014,11.0,Ed Hochuli,Houston Texans 23 @ Cleveland Browns 7,5,55,2,20,1,5,2,30
Cincinnati,11/23/2014,12.0,Terry McAulay,Cincinnati Bengals 22 @ Houston Texans 13,3,15,1,5,2,10,0,0
Tennessee,11/30/2014,13.0,Jeff Triplette,Tennessee Titans 21 @ Houston Texans 45,5,40,2,15,3,25,0,0
Jacksonville,12/07/2014,14.0,Carl Cheffers,Houston Texans 27 @ Jacksonville Jaguars 13,7,64,2,20,5,44,0,0
Indianapolis,12/14/2014,15.0,Gene Steratore,Houston Texans 10 @ Indianapolis Colts 17,8,66,3,20,3,29,2,17
Baltimore,12/21/2014,16.0,Walt Coleman,Baltimore Ravens 13 @ Houston Texans 25,7,69,3,20,3,39,1,10
Jacksonville,12/28/2014,17.0,John Parry,Jacksonville Jaguars 17 @ Houston Texans 23,6,55,1,10,5,45,0,0
Totals,,,,,94,834,45,364,39,371,10,99
