Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Jacksonville,09/10/2023,1.0,Clay Martin,Jacksonville Jaguars 31 @ Indianapolis Colts 21,4,35,3,30,1,5,0,0
Houston,09/17/2023,2.0,Carl Cheffers,Indianapolis Colts 31 @ Houston Texans 20,8,42,3,20,5,22,0,0
Baltimore,09/24/2023,3.0,Clete Blakeman,Indianapolis Colts 22 @ Baltimore Ravens 19,6,31,4,16,1,5,1,10
LA Rams,10/01/2023,4.0,Land Clark,Los Angeles Rams 29 @ Indianapolis Colts 23,8,80,3,25,4,50,1,5
Tennessee,10/08/2023,5.0,Brad Rogers,Tennessee Titans 16 @ Indianapolis Colts 23,8,55,5,40,3,15,0,0
Jacksonville,10/15/2023,6.0,Alex Kemp,Indianapolis Colts 20 @ Jacksonville Jaguars 37,6,46,1,8,4,28,1,10
Cleveland,10/22/2023,7.0,Shawn Smith,Cleveland Browns 39 @ Indianapolis Colts 38,8,67,4,35,3,27,1,5
New Orleans,10/29/2023,8.0,Craig Wrolstad,New Orleans Saints 38 @ Indianapolis Colts 27,6,30,4,25,2,5,0,0
Carolina,11/05/2023,9.0,Bill Vinovich,Indianapolis Colts 27 @ Carolina Panthers 13,5,25,4,20,1,5,0,0
New England,11/12/2023,10.0,Tra Blake,Indianapolis Colts 10 @ New England Patriots 6,4,34,3,19,1,15,0,0
Tampa Bay,11/26/2023,12.0,Clete Blakeman,Tampa Bay Buccaneers 20 @ Indianapolis Colts 27,5,40,2,20,3,20,0,0
Tennessee,12/03/2023,13.0,Craig Wrolstad,Indianapolis Colts 31 @ Tennessee Titans 28,4,29,0,0,3,24,1,5
Cincinnati,12/10/2023,14.0,Shawn Hochuli,Indianapolis Colts 14 @ Cincinnati Bengals 34,9,66,5,40,3,18,1,8
Pittsburgh,12/16/2023,15.0,Adrian Hill,Pittsburgh Steelers 13 @ Indianapolis Colts 30,2,10,1,5,1,5,0,0
Atlanta,12/24/2023,16.0,Alan Eck,Indianapolis Colts 10 @ Atlanta Falcons 29,4,29,1,5,2,20,1,4
Las Vegas,12/31/2023,17.0,Shawn Smith,Las Vegas Raiders 20 @ Indianapolis Colts 23,5,52,2,20,2,17,1,15
Houston,01/06/2024,18.0,Bill Vinovich,Houston Texans 23 @ Indianapolis Colts 19,3,14,2,10,1,4,0,0
Totals,,,,,95,685,47,338,40,285,8,62
