Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Indianapolis,09/10/2023,1.0,Clay Martin,Jacksonville Jaguars 31 @ Indianapolis Colts 21,4,45,1,10,3,35,0,0
Kansas City,09/17/2023,2.0,Adrian Hill,Kansas City Chiefs 17 @ Jacksonville Jaguars 9,2,10,2,10,0,0,0,0
Houston,09/24/2023,3.0,Scott Novak,Houston Texans 37 @ Jacksonville Jaguars 17,6,49,6,49,0,0,0,0
Atlanta,10/01/2023,4.0,Craig Wrolstad,Atlanta Falcons 7 @ Jacksonville Jaguars 23,3,25,2,20,1,5,0,0
Buffalo,10/08/2023,5.0,Shawn Smith,Jacksonville Jaguars 25 @ Buffalo Bills 20,8,56,5,27,2,24,1,5
Indianapolis,10/15/2023,6.0,Alex Kemp,Indianapolis Colts 20 @ Jacksonville Jaguars 37,5,25,2,10,2,10,1,5
New Orleans,10/19/2023,7.0,Land Clark,Jacksonville Jaguars 31 @ New Orleans Saints 24,5,42,2,10,2,17,1,15
Pittsburgh,10/29/2023,8.0,Alan Eck,Jacksonville Jaguars 20 @ Pittsburgh Steelers 10,6,72,4,35,2,37,0,0
San Francisco,11/12/2023,10.0,Brad Allen,San Francisco 49ers 34 @ Jacksonville Jaguars 3,5,39,4,25,1,14,0,0
Tennessee,11/19/2023,11.0,Brad Rogers,Tennessee Titans 14 @ Jacksonville Jaguars 34,4,29,0,0,3,25,1,4
Houston,11/26/2023,12.0,Clay Martin,Jacksonville Jaguars 24 @ Houston Texans 21,6,35,5,30,1,5,0,0
Cincinnati,12/04/2023,13.0,Scott Novak,Cincinnati Bengals 34 @ Jacksonville Jaguars 31,7,55,5,35,2,20,0,0
Cleveland,12/10/2023,14.0,Ron Torbert,Jacksonville Jaguars 27 @ Cleveland Browns 31,7,40,5,25,0,0,2,15
Baltimore,12/17/2023,15.0,Shawn Smith,Baltimore Ravens 23 @ Jacksonville Jaguars 7,6,47,4,26,2,21,0,0
Tampa Bay,12/24/2023,16.0,Brad Allen,Jacksonville Jaguars 12 @ Tampa Bay Buccaneers 30,2,20,1,5,1,15,0,0
Carolina,12/31/2023,17.0,Carl Cheffers,Carolina Panthers 0 @ Jacksonville Jaguars 26,1,15,0,0,0,0,1,15
Tennessee,01/07/2024,18.0,Tra Blake,Jacksonville Jaguars 20 @ Tennessee Titans 28,6,40,4,30,2,10,0,0
Totals,,,,,83,644,52,347,24,238,7,59
