Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Baltimore,09/13/2009,1.0,Gene Steratore,Kansas City Chiefs 24 @ Baltimore Ravens 38,3,15,1,5,1,5,1,5
Oakland,09/20/2009,2.0,Walt Anderson,Oakland Raiders 13 @ Kansas City Chiefs 10,9,70,7,50,2,20,0,0
Philadelphia,09/27/2009,3.0,John Parry,Kansas City Chiefs 14 @ Philadelphia Eagles 34,10,90,7,60,1,15,2,15
N.Y. Giants,10/04/2009,4.0,Jerome Boger,New York Giants 27 @ Kansas City Chiefs 16,7,55,5,25,2,30,0,0
Dallas,10/11/2009,5.0,Ron Winter,Dallas Cowboys 26 @ Kansas City Chiefs 20,7,50,6,45,1,5,0,0
Washington,10/18/2009,6.0,Tony Corrente,Kansas City Chiefs 14 @ Washington Redskins 6,4,30,2,15,0,0,2,15
San Diego,10/25/2009,7.0,Pete Morelli,San Diego Chargers 37 @ Kansas City Chiefs 7,7,41,5,35,2,6,0,0
Jacksonville,11/08/2009,9.0,Bill Leavy,Kansas City Chiefs 21 @ Jacksonville Jaguars 24,1,10,1,10,0,0,0,0
Oakland,11/15/2009,10.0,Mike Carey,Kansas City Chiefs 16 @ Oakland Raiders 10,5,35,4,25,1,10,0,0
Pittsburgh,11/22/2009,11.0,Carl Cheffers,Pittsburgh Steelers 24 @ Kansas City Chiefs 27,4,28,2,14,1,5,1,9
San Diego,11/29/2009,12.0,Don Carey,Kansas City Chiefs 14 @ San Diego Chargers 43,5,25,2,14,3,11,0,0
Denver,12/06/2009,13.0,Jeff Triplette,Denver Broncos 44 @ Kansas City Chiefs 13,3,25,2,10,1,15,0,0
Buffalo,12/13/2009,14.0,Al Riveron,Buffalo Bills 16 @ Kansas City Chiefs 10,5,43,4,28,1,15,0,0
Cleveland,12/20/2009,15.0,Gene Steratore,Cleveland Browns 41 @ Kansas City Chiefs 34,3,34,2,19,0,0,1,15
Cincinnati,12/27/2009,16.0,Ed Hochuli,Kansas City Chiefs 10 @ Cincinnati Bengals 17,6,40,4,25,1,5,1,10
Denver,01/03/2010,17.0,Scott Green,Kansas City Chiefs 44 @ Denver Broncos 24,5,76,2,15,2,51,1,10
Totals,,,,,84,667,56,395,19,193,9,79
