Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Cincinnati,09/13/2015,1.0,Brad Allen,Cincinnati Bengals 33 @ Oakland Raiders 13,5,32,3,25,2,7,0,0
Baltimore,09/20/2015,2.0,Pete Morelli,Baltimore Ravens 33 @ Oakland Raiders 37,16,106,5,35,8,42,3,29
Cleveland,09/27/2015,3.0,Clete Blakeman,Oakland Raiders 27 @ Cleveland Browns 20,12,85,8,65,4,20,0,0
Chicago,10/04/2015,4.0,Jeff Triplette,Oakland Raiders 20 @ Chicago Bears 22,5,47,0,0,3,40,2,7
Denver,10/11/2015,5.0,John Hussey,Denver Broncos 16 @ Oakland Raiders 10,6,41,2,15,3,21,1,5
San Diego,10/25/2015,7.0,Jerome Boger,Oakland Raiders 37 @ San Diego Chargers 29,14,136,7,75,6,56,1,5
N.Y. Jets,11/01/2015,8.0,Ed Hochuli,New York Jets 20 @ Oakland Raiders 34,6,61,1,10,2,29,3,22
Pittsburgh,11/08/2015,9.0,Bill Vinovich,Oakland Raiders 35 @ Pittsburgh Steelers 38,3,21,1,5,2,16,0,0
Minnesota,11/15/2015,10.0,Tony Corrente,Minnesota Vikings 30 @ Oakland Raiders 14,8,82,2,10,3,42,3,30
Detroit,11/22/2015,11.0,Clete Blakeman,Oakland Raiders 13 @ Detroit Lions 18,6,31,4,18,1,5,1,8
Tennessee,11/29/2015,12.0,Jeff Triplette,Oakland Raiders 24 @ Tennessee Titans 21,11,94,1,4,5,51,5,39
Kansas City,12/06/2015,13.0,Craig Wrolstad,Kansas City Chiefs 34 @ Oakland Raiders 20,4,21,0,0,3,11,1,10
Denver,12/13/2015,14.0,Bill Vinovich,Oakland Raiders 15 @ Denver Broncos 12,10,70,6,36,3,24,1,10
Green Bay,12/20/2015,15.0,Walt Anderson,Green Bay Packers 30 @ Oakland Raiders 20,10,95,3,15,5,65,2,15
San Diego,12/24/2015,16.0,Carl Cheffers,San Diego Chargers 20 @ Oakland Raiders 23,15,121,11,81,1,15,3,25
Kansas City,01/03/2016,17.0,Tony Corrente,Oakland Raiders 17 @ Kansas City Chiefs 23,7,59,2,10,5,49,0,0
Totals,,,,,138,1102,56,404,56,493,26,205
