Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Detroit,09/13/2015,1.0,Clete Blakeman,Detroit Lions 28 @ San Diego Chargers 33,5,40,3,20,2,20,0,0
Cincinnati,09/20/2015,2.0,Jeff Triplette,San Diego Chargers 19 @ Cincinnati Bengals 24,8,64,4,30,3,24,1,10
Minnesota,09/27/2015,3.0,Terry McAulay,San Diego Chargers 14 @ Minnesota Vikings 31,7,74,2,15,2,39,3,20
Cleveland,10/04/2015,4.0,Bill Vinovich,Cleveland Browns 27 @ San Diego Chargers 30,6,31,3,15,3,16,0,0
Pittsburgh,10/12/2015,5.0,Pete Morelli,Pittsburgh Steelers 24 @ San Diego Chargers 20,7,54,5,45,1,0,1,9
Green Bay,10/18/2015,6.0,Walt Anderson,San Diego Chargers 20 @ Green Bay Packers 27,9,76,4,42,5,34,0,0
Oakland,10/25/2015,7.0,Jerome Boger,Oakland Raiders 37 @ San Diego Chargers 29,9,86,6,68,2,10,1,8
Baltimore,11/01/2015,8.0,Gene Steratore,San Diego Chargers 26 @ Baltimore Ravens 29,6,66,3,15,3,51,0,0
Chicago,11/09/2015,9.0,Craig Wrolstad,Chicago Bears 22 @ San Diego Chargers 19,8,54,7,50,0,0,1,4
Kansas City,11/22/2015,11.0,Carl Cheffers,Kansas City Chiefs 33 @ San Diego Chargers 3,6,39,1,10,3,14,2,15
Jacksonville,11/29/2015,12.0,Jerome Boger,San Diego Chargers 31 @ Jacksonville Jaguars 25,8,70,6,50,1,5,1,15
Denver,12/06/2015,13.0,Walt Coleman,Denver Broncos 17 @ San Diego Chargers 3,8,72,6,51,2,21,0,0
Kansas City,12/13/2015,14.0,Pete Morelli,San Diego Chargers 3 @ Kansas City Chiefs 10,7,48,3,20,3,25,1,3
Miami,12/20/2015,15.0,John Hussey,Miami Dolphins 14 @ San Diego Chargers 30,7,48,6,45,1,3,0,0
Oakland,12/24/2015,16.0,Carl Cheffers,San Diego Chargers 20 @ Oakland Raiders 23,9,75,6,50,3,25,0,0
Denver,01/03/2016,17.0,Ron Torbert,San Diego Chargers 20 @ Denver Broncos 27,7,45,4,30,2,10,1,5
Totals,,,,,117,942,69,556,36,297,12,89
