Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
San Francisco,09/12/2016,1.0,Bill Vinovich,Los Angeles Rams 0 @ San Francisco 49ers 28,10,102,2,25,7,67,1,10
Seattle,09/18/2016,2.0,Jerome Boger,Seattle Seahawks 3 @ Los Angeles Rams 9,9,78,3,20,4,43,2,15
Tampa Bay,09/25/2016,3.0,Ed Hochuli,Los Angeles Rams 37 @ Tampa Bay Buccaneers 32,8,69,2,10,4,39,2,20
Arizona,10/02/2016,4.0,Gene Steratore,Los Angeles Rams 17 @ Arizona Cardinals 13,9,84,3,20,3,34,3,30
Buffalo,10/09/2016,5.0,Walt Coleman,Buffalo Bills 30 @ Los Angeles Rams 19,6,40,3,15,2,10,1,15
Detroit,10/16/2016,6.0,John Hussey,Los Angeles Rams 28 @ Detroit Lions 31,8,62,3,20,3,27,2,15
N.Y. Giants,10/23/2016,7.0,Ron Torbert,New York Giants 17 @ Los Angeles Rams 10,8,43,5,23,1,5,2,15
Carolina,11/06/2016,9.0,Terry McAulay,Carolina Panthers 13 @ Los Angeles Rams 10,10,109,3,30,4,54,3,25
N.Y. Jets,11/13/2016,10.0,Ed Hochuli,Los Angeles Rams 9 @ New York Jets 6,7,55,3,25,3,25,1,5
Miami,11/20/2016,11.0,Gene Steratore,Miami Dolphins 14 @ Los Angeles Rams 10,8,70,4,25,2,30,2,15
New Orleans,11/27/2016,12.0,John Hussey,Los Angeles Rams 21 @ New Orleans Saints 49,6,62,5,38,1,24,0,0
New England,12/04/2016,13.0,Jerome Boger,Los Angeles Rams 10 @ New England Patriots 26,4,30,3,25,1,5,0,0
Atlanta,12/11/2016,14.0,Clete Blakeman,Atlanta Falcons 42 @ Los Angeles Rams 14,11,105,6,45,3,40,2,20
Seattle,12/15/2016,15.0,Brad Allen,Los Angeles Rams 3 @ Seattle Seahawks 24,8,76,2,15,5,51,1,10
San Francisco,12/24/2016,16.0,Walt Anderson,San Francisco 49ers 22 @ Los Angeles Rams 21,5,45,1,5,2,20,2,20
Arizona,01/01/2017,17.0,Craig Wrolstad,Arizona Cardinals 44 @ Los Angeles Rams 6,9,61,4,25,3,23,2,13
Totals,,,,,126,1091,52,366,48,497,26,228
