Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Seattle,09/11/2016,1,John Hussey,Miami Dolphins 10 @ Seattle Seahawks 12,4,40,1,5,1,15,2,20
New England,09/18/2016,2,Craig Wrolstad,Miami Dolphins 24 @ New England Patriots 31,5,49,1,10,3,29,1,10
Cleveland,09/25/2016,3,Clete Blakeman,Cleveland Browns 24 @ Miami Dolphins 30,8,67,4,39,4,28,0,0
Cincinnati,09/29/2016,4,Bill Vinovich,Miami Dolphins 7 @ Cincinnati Bengals 22,7,68,1,8,4,30,2,30
Tennessee,10/09/2016,5,Craig Wrolstad,Tennessee Titans 30 @ Miami Dolphins 17,8,83,3,35,4,33,1,15
Pittsburgh,10/16/2016,6,Ed Hochuli,Pittsburgh Steelers 15 @ Miami Dolphins 30,8,95,5,50,1,15,2,30
Buffalo,10/23/2016,7,Brad Allen,Buffalo Bills 25 @ Miami Dolphins 28,13,116,5,50,5,41,3,25
N.Y. Jets,11/06/2016,9,Walt Coleman,New York Jets 23 @ Miami Dolphins 27,8,86,0,0,6,71,2,15
San Diego,11/13/2016,10,Terry McAulay,Miami Dolphins 31 @ San Diego Chargers 24,11,81,1,10,10,71,0,0
LA Rams,11/20/2016,11,Gene Steratore,Miami Dolphins 14 @ Los Angeles Rams 10,8,82,3,26,4,41,1,15
San Francisco,11/27/2016,12,Ron Torbert,San Francisco 49ers 24 @ Miami Dolphins 31,4,42,2,15,1,17,1,10
Baltimore,12/04/2016,13,Carl Cheffers,Miami Dolphins 6 @ Baltimore Ravens 38,7,57,6,52,0,0,1,5
Arizona,12/11/2016,14,Jerome Boger,Arizona Cardinals 23 @ Miami Dolphins 26,14,118,7,67,6,41,1,10
N.Y. Jets,12/17/2016,15,Pete Morelli,Miami Dolphins 34 @ New York Jets 13,9,70,4,25,5,45,0,0
Buffalo,12/24/2016,16,Craig Wrolstad,Miami Dolphins 34 @ Buffalo Bills 31,2,15,1,10,1,5,0,0
New England,01/01/2017,17,John Parry,New England Patriots 35 @ Miami Dolphins 14,9,73,5,35,3,28,1,10
Pittsburgh,01/08/2017,Wildcard Weekend,Craig Wrolstad,Miami Dolphins 12 @ Pittsburgh Steelers 30,6,64,2,25,3,34,1,5
Totals,,,,,131,1206,51,462,61,544,19,200
