Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Tennessee,09/11/2016,1.0,Walt Coleman,Minnesota Vikings 25 @ Tennessee Titans 16,3,39,2,24,1,15,0,0
Green Bay,09/18/2016,2.0,Walt Anderson,Green Bay Packers 14 @ Minnesota Vikings 17,13,137,6,40,6,92,1,5
Carolina,09/25/2016,3.0,Jerome Boger,Minnesota Vikings 22 @ Carolina Panthers 10,6,42,1,5,2,10,3,27
N.Y. Giants,10/03/2016,4.0,Brad Allen,New York Giants 10 @ Minnesota Vikings 24,6,37,3,25,3,12,0,0
Houston,10/09/2016,5.0,Jeff Triplette,Houston Texans 13 @ Minnesota Vikings 31,9,97,3,25,5,64,1,8
Philadelphia,10/23/2016,7.0,John Hussey,Minnesota Vikings 10 @ Philadelphia Eagles 21,7,56,4,45,2,10,1,1
Chicago,10/31/2016,8.0,Gene Steratore,Minnesota Vikings 10 @ Chicago Bears 20,1,10,1,10,0,0,0,0
Detroit,11/06/2016,9.0,Ed Hochuli,Detroit Lions 22 @ Minnesota Vikings 16,8,54,4,30,4,24,0,0
Washington,11/13/2016,10.0,Pete Morelli,Minnesota Vikings 20 @ Washington Redskins 26,4,35,3,30,1,5,0,0
Arizona,11/20/2016,11.0,Clete Blakeman,Arizona Cardinals 24 @ Minnesota Vikings 30,10,73,5,35,4,30,1,8
Detroit,11/24/2016,12.0,Carl Cheffers,Minnesota Vikings 13 @ Detroit Lions 16,5,40,4,35,1,5,0,0
Dallas,12/01/2016,13.0,Tony Corrente,Dallas Cowboys 17 @ Minnesota Vikings 15,8,57,6,40,0,0,2,17
Jacksonville,12/11/2016,14.0,John Hussey,Minnesota Vikings 25 @ Jacksonville Jaguars 16,7,93,2,15,4,73,1,5
Indianapolis,12/18/2016,15.0,Jerome Boger,Indianapolis Colts 34 @ Minnesota Vikings 6,6,27,2,10,3,15,1,2
Green Bay,12/24/2016,16.0,Jeff Triplette,Minnesota Vikings 25 @ Green Bay Packers 38,8,70,6,50,2,20,0,0
Chicago,01/01/2017,17.0,Terry McAulay,Chicago Bears 10 @ Minnesota Vikings 38,2,15,2,15,0,0,0,0
Totals,,,,,103,882,54,434,38,375,11,73
