Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Arizona,09/11/2016,1,Tony Corrente,New England Patriots 23 @ Arizona Cardinals 21,8,69,6,49,1,5,1,15
Miami,09/18/2016,2,Craig Wrolstad,Miami Dolphins 24 @ New England Patriots 31,7,65,3,30,3,30,1,5
Houston,09/22/2016,3,Walt Coleman,Houston Texans 0 @ New England Patriots 27,3,15,2,10,0,0,1,5
Buffalo,10/02/2016,4,Pete Morelli,Buffalo Bills 16 @ New England Patriots 0,9,74,6,49,2,20,1,5
Cleveland,10/09/2016,5,Bill Vinovich,New England Patriots 33 @ Cleveland Browns 13,5,61,2,20,3,41,0,0
Cincinnati,10/16/2016,6,Ron Torbert,Cincinnati Bengals 17 @ New England Patriots 35,6,55,5,50,1,5,0,0
Pittsburgh,10/23/2016,7,Craig Wrolstad,New England Patriots 27 @ Pittsburgh Steelers 16,4,40,3,25,1,15,0,0
Buffalo,10/30/2016,8,John Parry,New England Patriots 41 @ Buffalo Bills 25,10,116,3,20,7,96,0,0
Seattle,11/13/2016,10,Gene Steratore,Seattle Seahawks 31 @ New England Patriots 24,7,61,3,20,3,32,1,9
San Francisco,11/20/2016,11,Jeff Triplette,New England Patriots 30 @ San Francisco 49ers 17,5,40,3,25,1,5,1,10
N.Y. Jets,11/27/2016,12,Brad Allen,New England Patriots 22 @ New York Jets 17,2,15,0,0,1,5,1,10
LA Rams,12/04/2016,13,Jerome Boger,Los Angeles Rams 10 @ New England Patriots 26,8,46,4,35,2,1,2,10
Baltimore,12/12/2016,14,Ed Hochuli,Baltimore Ravens 23 @ New England Patriots 30,5,48,4,33,1,15,0,0
Denver,12/18/2016,15,Walt Anderson,New England Patriots 16 @ Denver Broncos 3,4,30,2,15,1,5,1,10
N.Y. Jets,12/24/2016,16,Gene Steratore,New York Jets 3 @ New England Patriots 41,3,20,1,10,1,5,1,5
Miami,01/01/2017,17,John Parry,New England Patriots 35 @ Miami Dolphins 14,7,64,5,44,0,0,2,20
Houston,01/14/2017,Divisional Playoffs,Pete Morelli,Houston Texans 16 @ New England Patriots 34,5,50,2,20,2,20,1,10
Pittsburgh,01/22/2017,Conference Championships,Terry McAulay,Pittsburgh Steelers 17 @ New England Patriots 36,2,10,1,5,1,5,0,0
Atlanta,02/05/2017,Super Bowl,Carl Cheffers,New England Patriots 34 @ Atlanta Falcons 28,4,23,1,10,2,8,1,5
Totals,,,,,104,902,56,470,33,313,15,119
