Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Tampa Bay,09/13/2020,1,Jerome Boger,Tampa Bay Buccaneers 23 @ New Orleans Saints 34,6,119,0,0,6,119,0,0
Las Vegas,09/21/2020,2,Shawn Hochuli,New Orleans Saints 24 @ Las Vegas Raiders 34,10,129,4,40,6,89,0,0
Green Bay,09/27/2020,3,Brad Rogers,Green Bay Packers 37 @ New Orleans Saints 30,8,83,2,15,5,53,1,15
Detroit,10/04/2020,4,Shawn Smith,New Orleans Saints 35 @ Detroit Lions 29,4,67,0,0,4,67,0,0
LA Chargers,10/12/2020,5,Clay Martin,Los Angeles Chargers 27 @ New Orleans Saints 30,5,60,1,10,1,15,3,35
Carolina,10/25/2020,7,Craig Wrolstad,Carolina Panthers 24 @ New Orleans Saints 27,6,50,3,25,3,25,0,0
Chicago,11/01/2020,8,Tony Corrente,New Orleans Saints 26 @ Chicago Bears 23,5,45,2,15,1,13,2,17
Tampa Bay,11/08/2020,9,John Hussey,New Orleans Saints 38 @ Tampa Bay Buccaneers 3,3,28,0,0,3,28,0,0
San Francisco,11/15/2020,10,Brad Rogers,San Francisco 49ers 13 @ New Orleans Saints 27,5,61,1,5,4,56,0,0
Atlanta,11/22/2020,11,Brad Allen,Atlanta Falcons 9 @ New Orleans Saints 24,5,35,2,20,3,15,0,0
Denver,11/29/2020,12,Craig Wrolstad,New Orleans Saints 31 @ Denver Broncos 3,5,35,4,25,0,0,1,10
Atlanta,12/06/2020,13,Adrian Hill,New Orleans Saints 21 @ Atlanta Falcons 16,10,79,4,30,5,42,1,7
Philadelphia,12/13/2020,14,Jerome Boger,New Orleans Saints 21 @ Philadelphia Eagles 24,8,52,2,10,5,27,1,15
Kansas City,12/20/2020,15,Scott Novak,Kansas City Chiefs 32 @ New Orleans Saints 29,10,93,3,30,6,56,1,7
Minnesota,12/25/2020,16,Adrian Hill,Minnesota Vikings 33 @ New Orleans Saints 52,4,38,1,5,3,33,0,0
Carolina,01/03/2021,17,Adrian Hill,New Orleans Saints 33 @ Carolina Panthers 7,4,31,2,20,2,11,0,0
Chicago,01/10/2021,Wildcard Weekend,Alex Kemp,Chicago Bears 9 @ New Orleans Saints 21,4,20,3,15,0,0,1,5
Tampa Bay,01/17/2021,Divisional Playoffs,Shawn Hochuli,Tampa Bay Buccaneers 30 @ New Orleans Saints 20,5,34,2,10,1,5,2,19
Totals,,,,,107,1059,36,275,58,654,13,130
