Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Dallas,09/10/2017,1.0,Carl Cheffers,New York Giants 3 @ Dallas Cowboys 19,6,55,4,24,1,21,1,10
Detroit,09/18/2017,2.0,John Parry,Detroit Lions 24 @ New York Giants 10,7,50,3,30,2,10,2,10
Philadelphia,09/24/2017,3.0,Jerome Boger,New York Giants 24 @ Philadelphia Eagles 27,10,137,6,50,3,82,1,5
Tampa Bay,10/01/2017,4.0,Craig Wrolstad,New York Giants 23 @ Tampa Bay Buccaneers 25,1,0,1,0,0,0,0,0
LA Chargers,10/08/2017,5.0,Jeff Triplette,Los Angeles Chargers 27 @ New York Giants 22,10,67,5,35,4,27,1,5
Denver,10/15/2017,6.0,Bill Vinovich,New York Giants 23 @ Denver Broncos 10,5,77,2,10,2,52,1,15
Seattle,10/22/2017,7.0,Tony Corrente,Seattle Seahawks 24 @ New York Giants 7,7,28,3,10,3,14,1,4
LA Rams,11/05/2017,9.0,Ed Hochuli,Los Angeles Rams 51 @ New York Giants 17,4,52,2,15,2,37,0,0
San Francisco,11/12/2017,10.0,Jerome Boger,New York Giants 21 @ San Francisco 49ers 31,4,35,3,20,1,15,0,0
Kansas City,11/19/2017,11.0,Gene Steratore,Kansas City Chiefs 9 @ New York Giants 12,5,48,3,35,2,13,0,0
Washington,11/23/2017,12.0,Terry McAulay,New York Giants 10 @ Washington Redskins 20,6,79,3,27,2,42,1,10
Oakland,12/03/2017,13.0,Pete Morelli,New York Giants 17 @ Oakland Raiders 24,1,5,1,5,0,0,0,0
Dallas,12/10/2017,14.0,Walt Anderson,Dallas Cowboys 30 @ New York Giants 10,7,69,3,30,1,15,3,24
Philadelphia,12/17/2017,15.0,Brad Allen,Philadelphia Eagles 34 @ New York Giants 29,5,67,3,30,2,37,0,0
Arizona,12/24/2017,16.0,John Parry,New York Giants 0 @ Arizona Cardinals 23,10,101,5,45,2,35,3,21
Washington,12/31/2017,17.0,John Hussey,Washington Redskins 10 @ New York Giants 18,3,25,3,25,0,0,0,0
Totals,,,,,91,895,50,391,27,400,14,104
