Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Green Bay,09/06/2024,1,Ron Torbert,Green Bay Packers 29 @ Philadelphia Eagles 34,7,57,2,10,3,41,2,6
Atlanta,09/16/2024,2,Craig Wrolstad,Atlanta Falcons 22 @ Philadelphia Eagles 21,9,53,6,40,2,8,1,5
New Orleans,09/22/2024,3,Scott Novak,Philadelphia Eagles 15 @ New Orleans Saints 12,7,45,6,40,1,5,0,0
Tampa Bay,09/29/2024,4,Carl Cheffers,Philadelphia Eagles 16 @ Tampa Bay Buccaneers 33,5,41,1,10,3,26,1,5
Cleveland,10/13/2024,6,Shawn Hochuli,Cleveland Browns 16 @ Philadelphia Eagles 20,5,40,3,15,1,15,1,10
N.Y. Giants,10/20/2024,7,Tra Blake,Philadelphia Eagles 28 @ New York Giants 3,6,35,1,5,2,10,3,20
Cincinnati,10/27/2024,8,Scott Novak,Philadelphia Eagles 37 @ Cincinnati Bengals 17,4,40,4,40,0,0,0,0
Jacksonville,11/03/2024,9,Alan Eck,Jacksonville Jaguars 23 @ Philadelphia Eagles 28,8,67,7,49,1,18,0,0
Dallas,11/10/2024,10,Alex Kemp,Philadelphia Eagles 34 @ Dallas Cowboys 6,7,49,2,10,3,19,2,20
Washington,11/14/2024,11,Adrian Hill,Washington Commanders 18 @ Philadelphia Eagles 26,4,49,1,10,2,29,1,10
LA Rams,11/24/2024,12,Land Clark,Philadelphia Eagles 37 @ Los Angeles Rams 20,4,52,1,5,2,37,1,10
Baltimore,12/01/2024,13,Craig Wrolstad,Philadelphia Eagles 24 @ Baltimore Ravens 19,8,55,2,10,3,15,3,30
Carolina,12/08/2024,14,Carl Cheffers,Carolina Panthers 16 @ Philadelphia Eagles 22,7,40,4,25,3,15,0,0
Pittsburgh,12/15/2024,15,Alan Eck,Pittsburgh Steelers 13 @ Philadelphia Eagles 27,7,54,5,36,1,15,1,3
Washington,12/22/2024,16,Shawn Smith,Philadelphia Eagles 33 @ Washington Commanders 36,10,91,2,15,5,56,3,20
Dallas,12/29/2024,17,Brad Allen,Dallas Cowboys 7 @ Philadelphia Eagles 41,4,25,3,20,1,5,0,0
N.Y. Giants,01/05/2025,18,Ron Torbert,New York Giants 13 @ Philadelphia Eagles 20,1,0,0,0,0,0,1,0
Green Bay,01/12/2025,Wildcard Weekend,Brad Allen,Green Bay Packers 10 @ Philadelphia Eagles 22,7,64,4,30,1,24,2,10
LA Rams,01/19/2025,Divisional Playoffs,Shawn Smith,Los Angeles Rams 22 @ Philadelphia Eagles 28,3,14,3,14,0,0,0,0
Totals,,,,,113,871,57,384,34,338,22,149
