Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Atlanta,09/12/2010,1,Scott Green,Atlanta Falcons 9 @ Pittsburgh Steelers 15,4,25,2,10,1,5,1,10
Tennessee,09/19/2010,2,John Parry,Pittsburgh Steelers 19 @ Tennessee Titans 11,5,35,4,25,0,0,1,10
Tampa Bay,09/26/2010,3,Bill Leavy,Pittsburgh Steelers 38 @ Tampa Bay Buccaneers 13,2,20,0,0,2,20,0,0
Baltimore,10/03/2010,4,Ed Hochuli,Baltimore Ravens 17 @ Pittsburgh Steelers 14,11,88,5,27,4,44,2,17
Cleveland,10/17/2010,6,Walt Anderson,Cleveland Browns 10 @ Pittsburgh Steelers 28,4,25,1,10,1,5,2,10
Miami,10/24/2010,7,Gene Steratore,Pittsburgh Steelers 23 @ Miami Dolphins 22,5,34,4,25,0,0,1,9
New Orleans,10/31/2010,8,Pete Morelli,Pittsburgh Steelers 10 @ New Orleans Saints 20,4,38,2,20,2,18,0,0
Cincinnati,11/08/2010,9,Ron Winter,Pittsburgh Steelers 27 @ Cincinnati Bengals 21,7,73,2,20,5,53,0,0
New England,11/14/2010,10,Carl Cheffers,New England Patriots 39 @ Pittsburgh Steelers 26,6,45,2,15,2,20,2,10
Oakland,11/21/2010,11,Tony Corrente,Oakland Raiders 3 @ Pittsburgh Steelers 35,14,163,6,66,7,87,1,10
Buffalo,11/28/2010,12,John Parry,Pittsburgh Steelers 19 @ Buffalo Bills 16,10,107,7,60,2,32,1,15
Baltimore,12/05/2010,13,Terry McAulay,Pittsburgh Steelers 13 @ Baltimore Ravens 10,9,61,2,10,3,21,4,30
Cincinnati,12/12/2010,14,Walt Coleman,Cincinnati Bengals 7 @ Pittsburgh Steelers 23,9,89,4,40,3,29,2,20
N.Y. Jets,12/19/2010,15,Pete Morelli,New York Jets 22 @ Pittsburgh Steelers 17,3,35,1,15,1,15,1,5
Carolina,12/23/2010,16,Bill Leavy,Carolina Panthers 3 @ Pittsburgh Steelers 27,4,40,4,40,0,0,0,0
Cleveland,01/02/2011,17,Ron Winter,Pittsburgh Steelers 41 @ Cleveland Browns 9,3,25,1,5,1,15,1,5
Baltimore,01/15/2011,Divisional Playoffs,Jeff Triplette,Baltimore Ravens 24 @ Pittsburgh Steelers 31,9,93,4,36,2,38,3,19
N.Y. Jets,01/23/2011,Conference Championships,Ed Hochuli,New York Jets 19 @ Pittsburgh Steelers 24,4,25,1,5,3,20,0,0
Green Bay,02/06/2011,Super Bowl,Walt Anderson,Pittsburgh Steelers 25 @ Green Bay Packers 31,6,55,4,35,0,0,2,20
Totals,,,,,119,1076,56,464,39,422,24,190
