Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Carolina,09/10/2017,1.0,Clete Blakeman,Carolina Panthers 23 @ San Francisco 49ers 3,10,74,6,35,4,39,0,0
Seattle,09/17/2017,2.0,Bill Vinovich,San Francisco 49ers 9 @ Seattle Seahawks 12,6,66,2,21,4,45,0,0
LA Rams,09/21/2017,3.0,Jeff Triplette,Los Angeles Rams 41 @ San Francisco 49ers 39,10,55,4,30,6,25,0,0
Arizona,10/01/2017,4.0,Tony Corrente,San Francisco 49ers 15 @ Arizona Cardinals 18,13,113,5,32,4,51,4,30
Indianapolis,10/08/2017,5.0,Walt Coleman,San Francisco 49ers 23 @ Indianapolis Colts 26,10,77,5,40,4,27,1,10
Washington,10/15/2017,6.0,John Parry,San Francisco 49ers 24 @ Washington Redskins 26,7,40,4,25,3,15,0,0
Dallas,10/22/2017,7.0,Ron Torbert,Dallas Cowboys 40 @ San Francisco 49ers 10,2,22,0,0,2,22,0,0
Philadelphia,10/29/2017,8.0,Clete Blakeman,San Francisco 49ers 10 @ Philadelphia Eagles 33,6,69,1,5,3,44,2,20
Arizona,11/05/2017,9.0,Craig Wrolstad,Arizona Cardinals 20 @ San Francisco 49ers 10,8,53,4,30,3,15,1,8
N.Y. Giants,11/12/2017,10.0,Jerome Boger,New York Giants 21 @ San Francisco 49ers 31,6,44,5,39,1,5,0,0
Seattle,11/26/2017,12.0,Pete Morelli,Seattle Seahawks 24 @ San Francisco 49ers 13,7,74,4,30,2,34,1,10
Chicago,12/03/2017,13.0,Ed Hochuli,San Francisco 49ers 15 @ Chicago Bears 14,8,53,6,39,1,5,1,9
Houston,12/10/2017,14.0,John Hussey,San Francisco 49ers 26 @ Houston Texans 16,11,87,7,58,3,16,1,13
Tennessee,12/17/2017,15.0,John Parry,Tennessee Titans 23 @ San Francisco 49ers 25,7,70,2,20,3,25,2,25
Jacksonville,12/24/2017,16.0,Walt Anderson,Jacksonville Jaguars 33 @ San Francisco 49ers 44,8,68,2,10,5,53,1,5
LA Rams,12/31/2017,17.0,Terry McAulay,San Francisco 49ers 34 @ Los Angeles Rams 13,4,23,0,0,4,23,0,0
Totals,,,,,123,988,57,414,52,444,14,130
