Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
St. Louis,09/13/2009,1.0,Pete Morelli,St. Louis Rams 0 @ Seattle Seahawks 28,4,25,0,0,3,15,1,10
San Francisco,09/20/2009,2.0,Bill Leavy,Seattle Seahawks 10 @ San Francisco 49ers 23,6,45,4,25,2,20,0,0
Chicago,09/27/2009,3.0,Don Carey,Chicago Bears 25 @ Seattle Seahawks 19,4,45,1,5,1,15,2,25
Indianapolis,10/04/2009,4.0,Mike Carey,Seattle Seahawks 17 @ Indianapolis Colts 34,6,45,6,45,0,0,0,0
Jacksonville,10/11/2009,5.0,Scott Green,Jacksonville Jaguars 0 @ Seattle Seahawks 41,1,10,1,10,0,0,0,0
Arizona,10/18/2009,6.0,Carl Cheffers,Arizona Cardinals 27 @ Seattle Seahawks 3,6,56,2,26,4,30,0,0
Dallas,11/01/2009,8.0,Jerome Boger,Seattle Seahawks 17 @ Dallas Cowboys 38,6,53,1,5,5,48,0,0
Detroit,11/08/2009,9.0,John Parry,Detroit Lions 20 @ Seattle Seahawks 32,6,45,3,20,1,5,2,20
Arizona,11/15/2009,10.0,Walt Coleman,Seattle Seahawks 20 @ Arizona Cardinals 31,9,113,4,20,4,83,1,10
Minnesota,11/22/2009,11.0,Ed Hochuli,Seattle Seahawks 9 @ Minnesota Vikings 35,10,64,2,10,6,44,2,10
St. Louis,11/29/2009,12.0,Scott Green,Seattle Seahawks 27 @ St. Louis Rams 17,7,52,2,15,5,37,0,0
San Francisco,12/06/2009,13.0,Al Riveron,San Francisco 49ers 17 @ Seattle Seahawks 20,4,48,1,5,1,28,2,15
Houston,12/13/2009,14.0,Pete Morelli,Seattle Seahawks 7 @ Houston Texans 34,7,63,5,43,1,5,1,15
Tampa Bay,12/20/2009,15.0,Mike Carey,Tampa Bay Buccaneers 24 @ Seattle Seahawks 7,6,50,3,20,0,0,3,30
Green Bay,12/27/2009,16.0,Walt Coleman,Seattle Seahawks 10 @ Green Bay Packers 48,8,86,3,20,5,66,0,0
Tennessee,01/03/2010,17.0,Ed Hochuli,Tennessee Titans 17 @ Seattle Seahawks 13,5,40,4,35,0,0,1,5
Totals,,,,,95,840,42,304,38,396,15,140
