Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Cleveland,09/12/2010,1.0,Jeff Triplette,Cleveland Browns 14 @ Tampa Bay Buccaneers 17,6,55,2,20,1,5,3,30
Carolina,09/19/2010,2.0,Walt Coleman,Tampa Bay Buccaneers 20 @ Carolina Panthers 7,4,30,3,25,0,0,1,5
Pittsburgh,09/26/2010,3.0,Bill Leavy,Pittsburgh Steelers 38 @ Tampa Bay Buccaneers 13,4,45,3,30,0,0,1,15
Cincinnati,10/10/2010,5.0,Scott Green,Tampa Bay Buccaneers 24 @ Cincinnati Bengals 21,3,25,3,25,0,0,0,0
New Orleans,10/17/2010,6.0,Clete Blakeman,New Orleans Saints 31 @ Tampa Bay Buccaneers 6,5,30,2,15,2,10,1,5
St. Louis,10/24/2010,7.0,Mike Carey,St. Louis Rams 17 @ Tampa Bay Buccaneers 18,12,92,9,77,1,5,2,10
Arizona,10/31/2010,8.0,Ron Winter,Tampa Bay Buccaneers 38 @ Arizona Cardinals 35,9,80,3,25,4,35,2,20
Atlanta,11/07/2010,9.0,Terry McAulay,Tampa Bay Buccaneers 21 @ Atlanta Falcons 27,5,30,1,0,3,25,1,5
Carolina,11/14/2010,10.0,Jerome Boger,Carolina Panthers 16 @ Tampa Bay Buccaneers 31,10,80,7,40,3,40,0,0
San Francisco,11/21/2010,11.0,John Parry,Tampa Bay Buccaneers 21 @ San Francisco 49ers 0,3,35,0,0,3,35,0,0
Baltimore,11/28/2010,12.0,Carl Cheffers,Tampa Bay Buccaneers 10 @ Baltimore Ravens 17,9,78,2,10,2,29,5,39
Atlanta,12/05/2010,13.0,Tony Corrente,Atlanta Falcons 28 @ Tampa Bay Buccaneers 24,9,102,3,32,4,45,2,25
Washington,12/12/2010,14.0,Pete Morelli,Tampa Bay Buccaneers 17 @ Washington Redskins 16,2,14,1,9,0,0,1,5
Detroit,12/19/2010,15.0,Terry McAulay,Detroit Lions 23 @ Tampa Bay Buccaneers 20,9,65,9,65,0,0,0,0
Seattle,12/26/2010,16.0,Clete Blakeman,Seattle Seahawks 15 @ Tampa Bay Buccaneers 38,3,22,2,17,0,0,1,5
New Orleans,01/02/2011,17.0,Gene Steratore,Tampa Bay Buccaneers 23 @ New Orleans Saints 13,7,54,1,5,4,30,2,19
Totals,,,,,100,837,51,395,27,259,22,183
