Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Denver,09/14/2020,1,Scott Novak,Tennessee Titans 16 @ Denver Broncos 14,5,37,3,14,1,13,1,10
Jacksonville,09/20/2020,2,Clay Martin,Jacksonville Jaguars 30 @ Tennessee Titans 33,4,30,3,15,1,15,0,0
Minnesota,09/27/2020,3,Clete Blakeman,Tennessee Titans 31 @ Minnesota Vikings 30,4,45,1,10,2,30,1,5
Buffalo,10/13/2020,5,Brad Rogers,Buffalo Bills 16 @ Tennessee Titans 42,6,46,2,15,1,5,3,26
Houston,10/18/2020,6,Alex Kemp,Houston Texans 36 @ Tennessee Titans 42,7,73,4,30,2,33,1,10
Pittsburgh,10/25/2020,7,Shawn Hochuli,Pittsburgh Steelers 27 @ Tennessee Titans 24,7,73,3,22,3,41,1,10
Cincinnati,11/01/2020,8,Scott Novak,Tennessee Titans 20 @ Cincinnati Bengals 31,7,68,1,10,6,58,0,0
Chicago,11/08/2020,9,Ron Torbert,Chicago Bears 17 @ Tennessee Titans 24,6,57,0,0,4,42,2,15
Indianapolis,11/12/2020,10,Brad Allen,Indianapolis Colts 34 @ Tennessee Titans 17,3,30,2,15,1,15,0,0
Baltimore,11/22/2020,11,Alex Kemp,Tennessee Titans 30 @ Baltimore Ravens 24,4,44,0,0,3,35,1,9
Indianapolis,11/29/2020,12,John Hussey,Tennessee Titans 45 @ Indianapolis Colts 26,9,63,4,20,4,38,1,5
Cleveland,12/06/2020,13,Clete Blakeman,Cleveland Browns 41 @ Tennessee Titans 35,5,52,1,10,4,42,0,0
Jacksonville,12/13/2020,14,Adrian Hill,Tennessee Titans 31 @ Jacksonville Jaguars 10,7,78,4,40,1,8,2,30
Detroit,12/20/2020,15,Jerome Boger,Detroit Lions 25 @ Tennessee Titans 46,3,22,2,10,1,12,0,0
Green Bay,12/27/2020,16,Brad Allen,Tennessee Titans 14 @ Green Bay Packers 40,3,15,0,0,2,10,1,5
Houston,01/03/2021,17,Shawn Hochuli,Tennessee Titans 41 @ Houston Texans 38,6,50,3,19,3,31,0,0
Baltimore,01/10/2021,Wildcard Weekend,Jerome Boger,Baltimore Ravens 20 @ Tennessee Titans 13,2,10,1,5,0,0,1,5
Totals,,,,,88,793,34,235,39,428,15,130
