Opponent,Date,Week,Ref Crew,Outcome,Total Count,Total Yards,Off Count,Off Yards,Def Count,Def Yards,ST Count,ST Yards
Philadelphia,09/10/2017,1.0,Brad Allen,Philadelphia Eagles 30 @ Washington Redskins 17,2,15,1,10,1,5,0,0
LA Rams,09/17/2017,2.0,Jerome Boger,Washington Redskins 27 @ Los Angeles Rams 20,4,25,1,10,2,5,1,10
Oakland,09/24/2017,3.0,Tony Corrente,Oakland Raiders 10 @ Washington Redskins 27,10,77,7,55,2,13,1,9
Kansas City,10/02/2017,4.0,Walt Coleman,Washington Redskins 20 @ Kansas City Chiefs 29,7,44,0,0,7,44,0,0
San Francisco,10/15/2017,6.0,John Parry,San Francisco 49ers 24 @ Washington Redskins 26,5,43,3,25,2,18,0,0
Philadelphia,10/23/2017,7.0,Ed Hochuli,Washington Redskins 24 @ Philadelphia Eagles 34,5,55,0,0,4,45,1,10
Dallas,10/29/2017,8.0,Walt Anderson,Dallas Cowboys 33 @ Washington Redskins 19,5,32,1,5,2,20,2,7
Seattle,11/05/2017,9.0,Ron Torbert,Washington Redskins 17 @ Seattle Seahawks 14,7,62,5,35,2,27,0,0
Minnesota,11/12/2017,10.0,Bill Vinovich,Minnesota Vikings 38 @ Washington Redskins 30,2,15,2,15,0,0,0,0
New Orleans,11/19/2017,11.0,Walt Coleman,Washington Redskins 31 @ New Orleans Saints 34,9,67,5,37,2,20,2,10
N.Y. Giants,11/23/2017,12.0,Terry McAulay,New York Giants 10 @ Washington Redskins 20,8,55,6,35,0,0,2,20
Dallas,11/30/2017,13.0,Craig Wrolstad,Washington Redskins 14 @ Dallas Cowboys 38,7,43,3,16,3,27,1,0
LA Chargers,12/10/2017,14.0,Jeff Triplette,Washington Redskins 13 @ Los Angeles Chargers 30,4,48,0,0,3,40,1,8
Arizona,12/17/2017,15.0,Pete Morelli,Arizona Cardinals 15 @ Washington Redskins 20,7,82,3,20,3,47,1,15
Denver,12/24/2017,16.0,Ed Hochuli,Denver Broncos 11 @ Washington Redskins 27,6,35,3,24,2,10,1,1
N.Y. Giants,12/31/2017,17.0,John Hussey,Washington Redskins 10 @ New York Giants 18,4,35,2,20,2,15,0,0
Totals,,,,,92,733,42,307,37,336,13,90
